vocab_id,ko,pos,meaning_zh,component_breakdown,collocation,example_ko,example_zh,confusable_with,same_meaning_as,source_refs,first_seen_date,last_seen_date,last_review_date,correct_count,wrong_count,uncertain_count,mastery_level,ask_priority,status,notes
V0001,지식,noun,知识,,지식을 쌓다,지식을 쌓는 것이 중요하다,积累知识很重要,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0002,지식을 쌓다,collocation,积累知识,지식(知识) + 쌓다(积累),,책을 읽으며 지식을 쌓다,通过读书积累知识,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉搭配
V0003,쌓다,verb,积累；堆积,,지식을 쌓다,경험을 쌓다,积累经验,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0004,피다,verb,开；开放,,꽃이 피다,꽃이 피기 시작했다,花开始开了,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0005,모양이다,expression,看来；样子,,온 모양이다,봄이 온 모양이다,看来春天来了,-(으)ㄴ 모양이다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,表达项并关联语法 -(으)ㄴ 모양이다
V0006,숨소리,noun,呼吸声,숨(呼吸) + 소리(声音),숨소리가 들리다,숨소리가 들릴 만큼 조용하다,安静到能听见呼吸声,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0007,조용해지다,verb,变安静,조용하다(安静) + -아/어지다(变得),,교실이 조용해졌다,教室变安静了,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0008,분위기,noun,氛围,,분위기를 꾸미다,분위기가 좋다,气氛很好,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0009,꾸미다,verb,装饰；布置,,분위기를 꾸미다,방을 예쁘게 꾸미다,把房间装饰得很漂亮,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0010,신다,verb,穿鞋/袜,,신발을 신다,운동화를 신다,穿运动鞋,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0011,가벼움,noun,轻盈,가볍다(轻) + -음(名词化),,가벼움을 느끼다,感到轻盈,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0012,정성을 담다,collocation,倾注诚意/用心,정성(诚意) + 담다(装入),,정성을 담아 만들다,用心制作,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0013,신선한 재료,collocation,新鲜材料/食材,신선하다(新鲜) + 재료(材料),,신선한 재료를 사용하다,使用新鲜材料,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0014,사용하다,verb,使用,,재료를 사용하다,신선한 재료를 사용하다,使用新鲜材料,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0015,웃는 얼굴,collocation,笑脸,웃다(笑) + 얼굴(脸),,웃는 얼굴로 인사하다,用笑脸问候,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
